,name,isVerified,rating,reviews,company_type,salaries,jobs
364,Mahindra Holidays & Resorts,1,3.5,(2k),Hospitality,6.1k,59
365,BT Group,0,3.9,(2k),Telecom,10.7k,9
366,Cybage,0,3.8,(2k),IT Services & Consulting,16.8k,9
367,Ola Cabs,0,3.4,(2k),Internet,10.8k,8
368,Myntra,1,4.0,(2k),Internet,9.9k,58
369,ICICI Securities,1,3.9,(2k),Financial Services,8.9k,3
370,Parle Agro,0,4.0,(2k),Beverage,6.9k,5
371,Intellect Design Arena,1,3.9,(2k),Software Product,11.9k,5
372,Delhi Public School,0,3.9,(2k),New Delhi +254 other locations,5.4k,66
373,Eureka Forbes,0,3.7,(2k),Consumer Electronics & Appliances,5.5k,4
374,Care Health Insurance,0,3.6,(2k),Internet,8k,54
375,Syngene International,0,3.9,(2k),Clinical Research,11.6k,57
376,JCB,0,3.9,(2k),Pune +98 other locations,9k,--
377,State Street Syntel,0,3.7,(1.9k),Financial Services,8.5k,--
378,Biocon Limited,0,3.9,(2k),Biotechnology,11.6k,21
379,Emcure Pharmaceuticals,0,3.7,(2k),Pune +103 other locations,8.1k,39
380,IntouchCX,1,2.9,(2k),BPO,8.4k,104
381,Radisson Hotels,0,4.1,(1.9k),New Delhi +113 other locations,5.5k,131
382,Xoriant,1,4.1,(2k),IT Services & Consulting,11.1k,45
383,Nokia Networks,0,4.2,(1.9k),Hardware & Networking,11.7k,--
384,Canara HSBC Life Insurance,1,3.6,(2k),Insurance,6.3k,9
385,Star Health & Allied Insurance,0,3.6,(2k),Insurance,8.3k,12
386,DBS Bank,0,3.8,(2k),Banking,12.5k,98
387,Extramarks Education,1,3.4,(1.9k),EdTech,8k,23
388,Adani Power,0,3.9,(1.9k),Power,8.2k,--
389,Cloudnine Hospital,1,4.4,(2k),Healthcare,2.6k,248
390,Planet Spark,1,3.7,(1.9k),EdTech,2.9k,56
391,Bharat Financial Inclusion,1,3.9,(1.9k),NBFC,4.2k,14
392,Cadila Pharmaceuticals,0,3.5,(1.9k),Pharma,7.3k,26
393,Ninjacart,1,4.0,(1.9k),Internet,5.8k,7
394,Indian Railways,0,4.1,(1.9k),Railways,3.5k,--
395,Sobha,0,3.8,(1.9k),Real Estate,8k,77
396,GlaxoSmithKline Pharmaceuticals,0,4.1,(1.9k),Pharma,5.3k,49
397,Ola Electric Mobility,0,3.3,(1.9k),Automobile,7.7k,--
398,Hero FinCorp,0,4.0,(1.9k),NBFC,5.1k,13
399,BHEL,0,4.1,(1.8k),Electrical Equipment,5.2k,3
